id,title,genres,keywords
862.0,Toy Story,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy', 'next', 'door', 'new', 'toy', 'toy', 'comes', 'life']"
8844.0,Jumanji,"['Adventure', 'Fantasy', 'Family']","['board', 'game', 'disappearance', 'based', 'book', 'new', 'home', 'recluse', 'giant', 'insect']"
949.0,Heat,"['Action', 'Crime', 'Drama', 'Thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat', 'mouse', 'criminal', 'mastermind', 'cult', 'film', 'heist', 'movie', 'one', 'last', 'job', 'loner', 'bank', 'job', 'gun', 'fight', 'crime', 'epic']"
710.0,GoldenEye,"['Adventure', 'Action', 'Thriller']","['cuba', 'falsely', 'accused', 'secret', 'identity', 'computer', 'virus', 'secret', 'base', 'secret', 'intelligence', 'service', 'kgb', 'satellite', 'special', 'car', 'cossack', 'electromagnetic', 'pulse', 'time', 'bomb', 'petersburg', 'russia', 'ejection', 'seat', 'red', 'army']"
21032.0,Balto,"['Family', 'Animation', 'Adventure']","['wolf', 'race', 'alaska', 'dog', 'goose', 'bear', 'attack', 'dog', 'sled', 'frozen', 'lake']"
524.0,Casino,"['Drama', 'Crime']","['poker', 'drug', 'abuse', '1970s', 'overdose', 'illegal', 'prostitution']"
4584.0,Sense and Sensibility,"['Drama', 'Romance']","['bowling', 'based', 'novel', 'servant', 'country', 'life', 'austen', 'inheritance', 'military', 'officer', 'period', 'drama', 'rainstorm', 'horse', 'carriage', 'decorum']"
5.0,Four Rooms,"['Crime', 'Comedy']","['hotel', 'new', 'years', 'eve', 'witch', 'bet', 'hotel', 'room', 'sperm', 'hoodlum', 'woman', 'director', 'episode', 'film']"
9273.0,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']","['africa', 'indigenous', 'human', 'animal', 'relationship', 'bat']"
8012.0,Get Shorty,"['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'based', 'novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']"
9691.0,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican', 'standoff', 'seattle', 'hitman', 'mission', 'murder', 'hidden', 'camera', 'rivalry', 'rescue', 'shootout', 'police', 'chase', 'sniper', 'rifle', 'silencer', 'double', 'cross', 'caribbean', 'detroit', 'michigan']"
451.0,Leaving Las Vegas,"['Drama', 'Romance']","['individual', 'prostitute', 'alcohol', 'casino', 'love', 'first', 'sight', 'lovesickness', 'film', 'producer', 'screenwriter', 'hotel', 'room', 'dying', 'death', 'rage', 'hate', 'unsociability', 'alcoholism', 'alcohol', 'abuse', 'attempted', 'suicide']"
63.0,Twelve Monkeys,"['Science', 'Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia', 'cassandra', 'stockholm', 'syndrome', 'time', 'travel', 'dystopia', 'lethal', 'virus', 'monkey', 'subterranean']"
9598.0,Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking', 'animal', 'separation', 'german', 'shepherd', 'grandson', 'talking', 'pig']"
687.0,Dead Man Walking,['Drama'],"['prison', 'rape', 'socially', 'deprived', 'family', 'penalty', 'death', 'penalty', 'despair', 'death', 'row', 'therapist', 'self-discovery', 'prison', 'cell', 'court', 'case', 'death', 'sentence', 'doomed', 'man', 'sentence', 'lethal', 'injection', 'forgiveness', 'charity', 'mercy', 'petition', 'rage', 'hate', 'unsociability', 'right', 'justice', 'court', 'electric', 'chair', 'cowardliness']"
9603.0,Clueless,"['Comedy', 'Drama', 'Romance']","['puberty', 'high', 'school', 'make', 'match', 'spoiled', 'child', 'gay', 'interest', 'conflict', 'woman', 'director']"
9312.0,Mortal Kombat,"['Action', 'Fantasy']","['martial', 'arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based', 'video', 'game', 'hand', 'hand', 'combat']"
807.0,Se7en,"['Crime', 'Mystery', 'Thriller']","['prophecy', 'detective', 'drug', 'dealer', 'evisceration', 'lust', 'impulsiveness', 'rage', 'hate', 'pride', 'vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial', 'killer']"
